"","ReadsCount","Description","TaxonID","Superkingdom","Phylum","Class","Order","Family","Genus","Species"
"Hyphomicrobium sp. MC1","9","Hyphomicrobium sp. MC1 chromosome, complete genome"," 717785","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium sp. MC1"
"Ketogulonicigenium vulgare","9","Ketogulonicigenium vulgare Y25, complete genome"," 880591","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ketogulonicigenium","Ketogulonicigenium vulgare"
"Komagataella phaffii","9","Komagataella phaffii CBS 7435 genome assembly, chromosome: 1"," 981350","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Phaffomycetaceae","Komagataella","Komagataella phaffii"
"Leifsonia xyli","9","Leifsonia xyli subsp. xyli str. CTCB07, complete genome"," 281090","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Leifsonia","Leifsonia xyli"
"Lysobacter antibioticus","9","Lysobacter antibioticus strain ATCC 29479 genome","  84531","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","Lysobacter antibioticus"
"Massilia sp. B2","9","Massilia sp. B2 chromosome","2045208","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Massilia sp. B2"
"Melaminivora sp. SC2-7","9","Melaminivora sp. SC2-7 chromosome, complete genome","2116657","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Melaminivora","Melaminivora sp. SC2-7"
"Microbacterium sp. PAMC 28756","9","Microbacterium sp. PAMC 28756, complete genome","1795053","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Microbacterium sp. PAMC 28756"
"Mycobacterium intracellulare","9","Mycobacterium intracellulare ATCC 13950, complete genome"," 487521","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium intracellulare"
"Paracoccus contaminans","9","Paracoccus contaminans strain RKI 16-01929T=LMG 29738T=CCM 8701T=CIP 111112T chromosome, complete genome","1945662","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","Paracoccus contaminans"
"Polymorphum gilvum","9","Polymorphum gilvum SL003B-26A1, complete genome"," 991905","Bacteria","Proteobacteria","Alphaproteobacteria","","","Polymorphum","Polymorphum gilvum"
"Pseudomonas citronellolis","9","Pseudomonas citronellolis strain P3B5, complete genome","  53408","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas citronellolis"
"Pseudomonas sp. DR 5-09","9","Pseudomonas sp. DR 5-09, complete genome","1534110","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. DR 5-09"
"Pseudomonas sp. FGI182","9","Pseudomonas sp. FGI182, complete genome","1259844","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. FGI182"
"Pseudonocardia sp. EC080619-01","9","Pseudonocardia sp. EC080619-01, complete genome","1096856","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","Pseudonocardia sp. EC080619-01"
"Ralstonia insidiosa","9","Ralstonia insidiosa strain FC1138 chromosome 1, complete sequence"," 190721","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Ralstonia","Ralstonia insidiosa"
"Rhizobium etli","9","Rhizobium etli CIAT 652, complete genome"," 491916","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium etli"
"Shinella sp. HZN7","9","Shinella sp. HZN7, complete genome"," 879274","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella","Shinella sp. HZN7"
"Sphingobacteriaceae bacterium GW460-11-11-14-LB5","9","Sphingobacteriaceae bacterium GW460-11-11-14-LB5 chromosome, complete genome","1986952","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","","Sphingobacteriaceae bacterium GW460-11-11-14-LB5"
"Sphingobium hydrophobicum","9","Sphingobium sp. C1 chromosome I, complete sequence","1673076","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium hydrophobicum"
"Staphylococcus capitis","9","Staphylococcus capitis subsp. capitis strain AYP1020, complete genome","  72758","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus capitis"
"Tistrella mobilis","9","Tistrella mobilis KA081020-065, complete genome","1110502","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Tistrella","Tistrella mobilis"
"Xanthomonas translucens","9","Xanthomonas translucens pv. undulosa strain Xtu 4699, complete genome"," 487909","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas translucens"
"Acidovorax sp. NA2","8","Acidovorax sp. NA2, complete genome","1662456","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. NA2"
"Acidovorax sp. P3","8","Acidovorax sp. P3, complete genome","1662457","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","Acidovorax sp. P3"
"Acinetobacter nosocomialis","8","Acinetobacter nosocomialis strain 6411, complete genome"," 106654","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter nosocomialis"
"Acinetobacter sp. DUT-2","8","Acinetobacter sp. DUT-2, complete genome","1809055","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. DUT-2"
"Actinomyces radicidentis","8","Actinomyces radicidentis strain CCUG 36733, complete genome"," 111015","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces radicidentis"
"Actinoplanes sp. SE50/110","8","Actinoplanes sp. SE50/110, complete genome"," 134676","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Actinoplanes","Actinoplanes sp. SE50/110"
"Aerococcus viridans","8","Aerococcus viridans strain CCUG4311, complete genome","   1377","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","Aerococcus viridans"
"Aeromicrobium erythreum","8","Aeromicrobium erythreum strain AR18, complete genome","   2041","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium","Aeromicrobium erythreum"
"Agromyces aureus","8","Agromyces aureus strain AR33, complete genome"," 453304","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces","Agromyces aureus"
"Arthrobacter sp. U41","8","Arthrobacter sp. U41, complete genome","1849032","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. U41"
"Brachybacterium faecium","8","Brachybacterium faecium DSM 4810 strain 6-10, complete genome"," 446465","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium faecium"
"Burkholderia diffusa","8","Burkholderia diffusa strain RF2-non-BP9 chromosome 1, complete sequence"," 488732","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia diffusa"
"Cellulomonas fimi","8","Cellulomonas fimi ATCC 484, complete genome"," 590998","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Cellulomonadaceae","Cellulomonas","Cellulomonas fimi"
"Cellulosimicrobium sp. TH-20","8","Cellulosimicrobium sp. TH-20 chromosome, complete genome","1980001","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Cellulosimicrobium","Cellulosimicrobium sp. TH-20"
"Corynebacterium resistens","8","Corynebacterium resistens DSM 45100, complete genome"," 662755","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium resistens"
"Enterobacter hormaechei","8","Enterobacter hormaechei subsp. oharae strain 34978, complete genome"," 301102","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter hormaechei"
"Erythrobacter litoralis","8","Erythrobacter litoralis HTCC2594, complete genome"," 314225","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Erythrobacter","Erythrobacter litoralis"
"Heliobacterium modesticaldum","8","Heliobacterium modesticaldum Ice1 strain Ice1, complete genome"," 498761","Bacteria","Firmicutes","Clostridia","Clostridiales","Heliobacteriaceae","Heliobacterium","Heliobacterium modesticaldum"
"Kitasatospora sp. MMS16-BH015","8","Kitasatospora sp. MMS16-BH015 chromosome, complete genome","2018025","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Kitasatospora","Kitasatospora sp. MMS16-BH015"
"Kytococcus sedentarius","8","Kytococcus sedentarius DSM 20547, complete genome"," 478801","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermacoccaceae","Kytococcus","Kytococcus sedentarius"
"Lactococcus lactis","8","Lactococcus lactis subsp. lactis Il1403, complete genome"," 272623","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus lactis"
"Luteitalea pratensis","8","Acidobacteria bacterium DSM 100886, complete genome","1855912","Bacteria","Acidobacteria","","","","Luteitalea","Luteitalea pratensis"
"Martelella endophytica","8","Martelella endophytica strain YC6887, complete genome","1486262","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Martelella","Martelella endophytica"
"Mesorhizobium australicum","8","Mesorhizobium australicum WSM2073, complete genome"," 754035","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium australicum"
"Morganella morganii","8","Morganella morganii subsp. morganii KT, complete genome","1124991","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","Morganella morganii"
"Mycobacterium sp. QIA-37","8","Mycobacterium sp. QIA-37, complete genome","1561223","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp. QIA-37"
"Novosphingobium sp. PP1Y","8","Novosphingobium sp. PP1Y main chromosome, complete replicon"," 702113","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium sp. PP1Y"
"Paucibacter sp. KCTC 42545","8","Paucibacter sp. KCTC 42545, complete genome","1768242","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","","Paucibacter","Paucibacter sp. KCTC 42545"
"Photorhabdus luminescens","8","Photorhabdus luminescens subsp. laumondii TTO1 complete genome"," 243265","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Photorhabdus","Photorhabdus luminescens"
"Pseudomonas corrugata","8","Pseudomonas corrugata strain RM1-1-4, complete genome","  47879","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas corrugata"
"Pseudomonas fulva","8","Pseudomonas fulva 12-X, complete genome"," 743720","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas fulva"
"Pseudomonas silesiensis","8","Pseudomonas sp. A3(2016), complete genome","1853130","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas silesiensis"
"Pseudomonas sp. CCOS 191","8","Pseudomonas sp. CCOS 191 genome assembly Pseudomonas sp. strain CCOS 191, chromosome : I","1649877","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. CCOS 191"
"Pseudomonas sp. UW4","8","Pseudomonas sp. UW4, complete genome","1207075","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. UW4"
"Pseudomonas syringae group genomosp. 3","8","Pseudomonas syringae pv. tomato str. DC3000, complete genome"," 223283","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas syringae group genomosp. 3"
"Rhizobium sp. CIAT894","8","Rhizobium sp. CIAT894 chromosome, complete genome","2020312","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobium","Rhizobium sp. CIAT894"
"Rhodobacter sp. LPB0142","8","Rhodobacter sp. LPB0142, complete genome","1850250","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","Rhodobacter sp. LPB0142"
"Rhodococcus sp. 008","8","Rhodococcus sp. 008 chromosome, complete genome","1723645","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","Rhodococcus sp. 008"
"Sinorhizobium fredii","8","Sinorhizobium fredii NGR234, complete genome","    394","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium fredii"
"Sinorhizobium sp. RAC02","8","Sinorhizobium sp. RAC02 chromosome, complete genome","1842534","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium sp. RAC02"
"Sphingobium baderi","8","Sphingobium baderi strain DE-13, complete genome","1332080","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium baderi"
"Sphingobium sp. YBL2","8","Sphingobium sp. YBL2, complete genome"," 484429","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium sp. YBL2"
"Sphingopyxis alaskensis","8","Sphingopyxis alaskensis RB2256, complete genome"," 317655","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis alaskensis"
"Yarrowia lipolytica","8","Yarrowia lipolytica WSH-Z06 complete genome, chromosome YALIOA","1437815","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Yarrowia","Yarrowia lipolytica"
"Acidipropionibacterium acidipropionici","7","Acidipropionibacterium acidipropionici ATCC 4875 chromosome, complete genome","1171373","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Acidipropionibacterium","Acidipropionibacterium acidipropionici"
"Acinetobacter equi","7","Acinetobacter equi strain 114, complete genome","1324350","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter equi"
"Acinetobacter lactucae","7","Acinetobacter lactucae strain OTEC-02 chromosome, complete genome","1785128","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter lactucae"
"Acinetobacter sp. ADP1","7","Acinetobacter sp. ADP1 complete genome","  62977","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. ADP1"
"Acinetobacter sp. NCu2D-2","7","Acinetobacter sp. NCu2D-2 chromosome, complete genome","1608473","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. NCu2D-2"
"Actinomyces oris","7","Actinomyces oris strain T14V, complete genome"," 544580","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces oris"
"Alloactinosynnema sp. L-07","7","Alloactinosynnema sp. L-07 genome assembly Alloactinosynnema sp. L-07, chromosome : I","1653480","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Alloactinosynnema","Alloactinosynnema sp. L-07"
"Altererythrobacter mangrovi","7","Altererythrobacter mangrovi strain C9-11 chromosome, complete genome","1982042","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter","Altererythrobacter mangrovi"
"Arthrobacter sp. YC-RL1","7","Arthrobacter sp. YC-RL1, complete genome","1652545","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter","Arthrobacter sp. YC-RL1"
"Azoarcus olearius","7","Azoarcus olearius strain DQS4, complete genome"," 418699","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Zoogloeaceae","Azoarcus","Azoarcus olearius"
"Bdellovibrio bacteriovorus","7","Bdellovibrio bacteriovorus complete genome, strain HD100"," 264462","Bacteria","Proteobacteria","Oligoflexia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Bdellovibrio bacteriovorus"
"Bordetella genomosp. 13","7","Bordetella genomosp. 13 strain AU7206 chromosome, complete genome"," 463040","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella genomosp. 13"
"Brachybacterium sp. VR2415","7","Brachybacterium sp. VR2415 chromosome, complete genome","2017485","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium","Brachybacterium sp. VR2415"
